POSITION,PLAYER_NAME
 PF,Maurice Taylor
 PF,Kevin Garnett
 C,Shaquille O'Neal
 C,Shawn Kemp
 PF,Juwan Howard
 SF,Scottie Pippen
 PF,Karl Malone
 PF,Rasheed Wallace
 C,Dikembe Mutombo
 C,Chris Webber
 PG,Damon Stoudamire
 PG,Gary Payton
 PF,Antoine Walker
 PF,Shareef Abdur-Rahim
 SG,Allen Iverson
 SG,Latrell Sprewell
 PF,Vin Baker
 C,Zydrunas Ilgauskas
 SF,Anfernee Hardaway
 SG,Ray Allen
 SF,Kobe Bryant
 PG,Stephon Marbury
 SG,Tracy McGrady
 C,Tim Duncan
 SG,Jalen Rose
 PF,Keith Van Horn
 SF,Grant Hill
 SG,Reggie Miller
 PF,Antonio Davis
 SG,Michael Finley
 C,Vlade Divac
 SG,Eddie Jones
 PF,Brian Grant
 SG,Allan Houston
 PF,Tom Gugliotta
 PF,Tim Thomas
 G,Vince Carter
 C,David Robinson
 PG,Nick Van Exel
 SG,Steve Smith
 SF,Glenn Robinson
 PF,Kevin Garnett
 C,Shaquille O'Neal
 C,Alonzo Mourning
 PF,Juwan Howard
 SF,Scottie Pippen
 PF,Karl Malone
 PF,Rasheed Wallace
 C,Dikembe Mutombo
 PG,Gary Payton
 C,Shawn Kemp
 C,Chris Webber
 PG,Damon Stoudamire
 SG,Reggie Miller
 PF,Antonio McDyess
 PF,Antoine Walker
 PF,Shareef Abdur-Rahim
 SG,Allen Iverson
 SG,Latrell Sprewell
 PF,Vin Baker
 C,Zydrunas Ilgauskas
 SF,Anfernee Hardaway
 SG,Ray Allen
 SF,Kobe Bryant
 PG,Stephon Marbury
 PF,Antonio Davis
 SG,Tracy McGrady
 C,Tim Duncan
 SG,Jalen Rose
 PF,Keith Van Horn
 SF,Grant Hill
 SG,Michael Finley
 C,Vlade Divac
 PF,Tom Gugliotta
 SG,Eddie Jones
 PF,Brian Grant
 SG,Allan Houston
 PF,Tim Thomas
 C,David Robinson
 PG,Terrell Brandon
 PG,Nick Van Exel
 PF,Kevin Garnett
 C,Shaquille O'Neal
 C,Alonzo Mourning
 PF,Juwan Howard
 C,Hakeem Olajuwon
 PF,Karl Malone
 C,Dikembe Mutombo
 C,Patrick Ewing
 C,David Robinson
 SF,Scottie Pippen
 PF,Rasheed Wallace
 F,Larry Johnson
 PG,Gary Payton
 G,Tim Hardaway
 C,Chris Webber
 C,Shawn Kemp
 PG,Damon Stoudamire
 G,John Stockton
 PF,Antonio McDyess
 SG,Reggie Miller
 C,Arvydas Sabonis
 C,Zydrunas Ilgauskas
 SF,Anfernee Hardaway
 PG,Stephon Marbury
 PF,Antoine Walker
 PF,Shareef Abdur-Rahim
 SG,Allen Iverson
 SG,Latrell Sprewell
 PF,Vin Baker
 SG,Ray Allen
 SF,Kobe Bryant
 C,Bryant Reeves
 SG,Tracy McGrady
 C,Tim Duncan
 SG,Jalen Rose
 SF,Grant Hill
 C,Vlade Divac
 PF,Tom Gugliotta
 SG,Allan Houston
 PF,Keith Van Horn
 C,Shaquille O'Neal
 PF,Kevin Garnett
 C,Alonzo Mourning
 PF,Juwan Howard
 SF,Scottie Pippen
 PF,Karl Malone
 F,Larry Johnson
 PG,Gary Payton
 PF,Rasheed Wallace
 C,Shawn Kemp
 PG,Damon Stoudamire
 PF,Antonio McDyess
 PF,Antoine Walker
 PF,Shareef Abdur-Rahim
 SG,Allen Iverson
 PF,Vin Baker
 SF,Anfernee Hardaway
 SG,Ray Allen
 SF,Kobe Bryant
 PG,Stephon Marbury
 C,Vlade Divac
 C,Bryant Reeves
 PF,Tom Gugliotta
 PG,Nick Van Exel
 C,Elden Campbell
 PG,Terrell Brandon
 PF,Derrick Coleman
 SF,Glenn Robinson
 SG,Steve Smith
 SG,Kerry Kittles
 C,Chris Dudley
 C,Theo Ratliff
 C,Matt Geiger
 PG,Jason Kidd
 PG,Kenny Anderson
 PF,Tyrone Hill
 PF,Clifford Robinson
 SF,Jamal Mashburn
 PG,Steve Nash
 PF,Alan Henderson
